year,semester,department_code,subject_code,subject_name
1,1,CHEM,CH101,Mathematics-I
1,1,CHEM,CH102,Physics
1,1,CHEM,CH103,Chemistry-I
1,1,CHEM,CH104,Engineering Graphics
1,1,CHEM,CH105,Programming for Problem Solving
1,1,CHEM,CH106,Thermodynamics-I
1,1,CIV,CE101,Mathematics-I
1,1,CIV,CE102,Physics
1,1,CIV,CE103,Chemistry-I
1,1,CIV,CE104,Programming for Problem Solving
1,1,CIV,CE105,Engineering Graphics & Design
1,1,CIV,CE106,Basic Electrical Engineering
1,1,CSE,CS101,Mathematics-I
1,1,CSE,CS102,Physics
1,1,CSE,CS103,Chemistry-I
1,1,CSE,CS104,Programming for Problem Solving
1,1,CSE,CS105,Engineering Graphics & Design
1,1,CSE,CS106,Basic Electrical Engineering
1,1,ECE,EC101,Mathematics-I
1,1,ECE,EC102,Physics
1,1,ECE,EC103,Chemistry-I
1,1,ECE,EC104,Programming for Problem Solving
1,1,ECE,EC105,Engineering Graphics & Design
1,1,ECE,EC106,Basic Electrical Engineering
1,1,EEE,EE101,Mathematics-I
1,1,EEE,EE102,Physics
1,1,EEE,EE103,Chemistry-I
1,1,EEE,EE104,Programming for Problem Solving
1,1,EEE,EE105,Engineering Graphics & Design
1,1,EEE,EE106,Basic Electrical Engineering
1,1,MECH,ME101,Mathematics-I
1,1,MECH,ME102,Physics
1,1,MECH,ME103,Chemistry-I
1,1,MECH,ME104,Programming for Problem Solving
1,1,MECH,ME105,Engineering Graphics & Design
1,1,MECH,ME106,Basic Electrical Engineering
1,1,MET,MT101,Mathematics-I
1,1,MET,MT102,Physics
1,1,MET,MT103,Chemistry-I
1,1,MET,MT104,Programming for Problem Solving
1,1,MET,MT105,Engineering Graphics & Design
1,1,MET,MT106,Basic Electrical Engineering
1,2,CHEM,CH201,Mathematics-II
1,2,CHEM,CH202,Chemistry-II
1,2,CHEM,CH203,Electrical & Electronics Engineering
1,2,CHEM,CH204,Engineering & Solid Mechanics
1,2,CHEM,CH205,Physics Laboratory
1,2,CHEM,CH206,Chemistry Laboratory
1,2,CIV,CE201,Mathematics-II
1,2,CIV,CE202,English / Communication Skills
1,2,CIV,CE203,Workshop / Manufacturing Practices
1,2,CIV,CE204,Physics Laboratory
1,2,CIV,CE205,Chemistry Laboratory
1,2,CIV,CE206,Programming Laboratory
1,2,CSE,CS201,Mathematics-II
1,2,CSE,CS202,English / Communication Skills
1,2,CSE,CS203,Workshop / Manufacturing Practices
1,2,CSE,CS204,Physics Laboratory
1,2,CSE,CS205,Chemistry Laboratory
1,2,CSE,CS206,Programming Laboratory
1,2,ECE,EC201,Mathematics-II
1,2,ECE,EC202,English / Communication Skills
1,2,ECE,EC203,Workshop / Manufacturing Practices
1,2,ECE,EC204,Physics Laboratory
1,2,ECE,EC205,Chemistry Laboratory
1,2,ECE,EC206,Programming Laboratory
1,2,EEE,EE201,Mathematics-II
1,2,EEE,EE202,English / Communication Skills
1,2,EEE,EE203,Workshop / Manufacturing Practices
1,2,EEE,EE204,Physics Laboratory
1,2,EEE,EE205,Chemistry Laboratory
1,2,EEE,EE206,Programming Laboratory
1,2,MECH,ME201,Mathematics-II
1,2,MECH,ME202,English / Communication Skills
1,2,MECH,ME203,Workshop / Manufacturing Practices
1,2,MECH,ME204,Physics Laboratory
1,2,MECH,ME205,Chemistry Laboratory
1,2,MECH,ME206,Programming Laboratory
1,2,MET,MT201,Mathematics-II
1,2,MET,MT202,English / Communication Skills
1,2,MET,MT203,Workshop / Manufacturing Practices
1,2,MET,MT204,Physics Laboratory
1,2,MET,MT205,Chemistry Laboratory
1,2,MET,MT206,Programming Laboratory
2,3,CHEM,CH301,Material & Energy Balance Computations
2,3,CHEM,CH302,Transport Phenomena
2,3,CHEM,CH303,Thermodynamics-II
2,3,CHEM,CH304,Heat Transfer
2,3,CHEM,CH305,Mass Transfer-I
2,3,CHEM,CH306,Fluid Mechanics
2,3,CIV,CE301,Engineering Mechanics
2,3,CIV,CE302,Strength of Materials-I
2,3,CIV,CE303,Fluid Mechanics
2,3,CIV,CE304,Surveying & Geomatics
2,3,CIV,CE305,Building Materials & Construction
2,3,CIV,CE306,Engineering Geology
2,3,CSE,CS301,Data Structures
2,3,CSE,CS302,Discrete Mathematics
2,3,CSE,CS303,Digital Logic Design
2,3,CSE,CS304,Computer Organization & Architecture
2,3,CSE,CS305,Object-Oriented Programming
2,3,CSE,CS306,Probability & Statistics
2,3,ECE,EC301,Network Theory
2,3,ECE,EC302,Electronic Devices & Circuits
2,3,ECE,EC303,Signals & Systems
2,3,ECE,EC304,Digital Electronics
2,3,ECE,EC305,Electromagnetic Fields
2,3,ECE,EC306,Analog Circuits
2,3,EEE,EE301,Electrical Circuit Analysis
2,3,EEE,EE302,Electrical Measurements & Instrumentation
2,3,EEE,EE303,Electrical Machines-I
